№,Символ,Кільк.,Імовірність,%
1, ,830,0.17302,17.30248
2,Є,13,0.00271,0.271
3,І,199,0.04148,4.14843
4,Ї,27,0.00563,0.56285
5,А,375,0.07817,7.81739
6,Б,79,0.01647,1.64686
7,В,189,0.0394,3.93996
8,Г,60,0.01251,1.25078
9,Д,135,0.02814,2.81426
10,Е,163,0.03398,3.39796
11,Ж,29,0.00605,0.60454
12,З,117,0.02439,2.43902
13,И,270,0.05629,5.62852
14,Й,44,0.00917,0.91724
15,К,177,0.0369,3.68981
16,Л,205,0.04274,4.2735
17,М,96,0.02001,2.00125
18,Н,250,0.05212,5.21159
19,О,400,0.08339,8.33854
20,П,109,0.02272,2.27225
21,Р,142,0.0296,2.96018
22,С,155,0.03231,3.23119
23,Т,191,0.03982,3.98166
24,У,157,0.03273,3.27288
25,Х,37,0.00771,0.77132
26,Ц,19,0.00396,0.39608
27,Ч,60,0.01251,1.25078
28,Ш,27,0.00563,0.56285
29,Щ,25,0.00521,0.52116
30,Ь,72,0.01501,1.50094
31,Ю,30,0.00625,0.62539
32,Я,115,0.02397,2.39733
