№,Символ,Кільк.,Імовірність
1,+,125,0.01021
2,/,98,0.008
3,0,1344,0.10973
4,1,47,0.00384
5,2,11,0.0009
6,3,118,0.00963
7,4,156,0.01274
8,5,13,0.00106
9,6,75,0.00612
10,7,196,0.016
11,8,48,0.00392
12,9,312,0.02547
13,A,99,0.00808
14,B,46,0.00376
15,C,1159,0.09463
16,D,476,0.03886
17,E,9,0.00073
18,F,12,0.00098
19,G,431,0.03519
20,H,80,0.00653
21,I,310,0.02531
22,J,47,0.00384
23,K,50,0.00408
24,L,1055,0.08614
25,M,41,0.00335
26,N,536,0.04376
27,O,25,0.00204
28,P,100,0.00816
29,Q,945,0.07716
30,R,428,0.03494
31,S,53,0.00433
32,T,43,0.00351
33,U,46,0.00376
34,V,3,0.00024
35,W,74,0.00604
36,X,48,0.00392
37,Y,341,0.02784
38,Z,67,0.00547
39,a,3,0.00024
40,b,49,0.004
41,c,16,0.00131
42,d,244,0.01992
43,e,6,0.00049
44,f,55,0.00449
45,g,537,0.04384
46,h,50,0.00408
47,i,143,0.01168
48,j,139,0.01135
49,k,18,0.00147
50,l,97,0.00792
51,m,1,8.0e-05
52,n,23,0.00188
53,o,38,0.0031
54,p,8,0.00065
55,q,1,8.0e-05
56,r,58,0.00474
57,s,274,0.02237
58,t,478,0.03903
59,u,239,0.01951
60,v,338,0.0276
61,w,184,0.01502
62,x,20,0.00163
63,y,106,0.00865
64,z,56,0.00457
