№,Символ,Кільк.,Імовірність,%
1,ЄЇ,1,0.00025,0.02521
2,ЄА,1,0.00025,0.02521
3,ЄБ,1,0.00025,0.02521
4,ЄГ,1,0.00025,0.02521
5,ЄК,1,0.00025,0.02521
6,ЄМ,1,0.00025,0.02521
7,ЄН,1,0.00025,0.02521
8,ЄО,1,0.00025,0.02521
9,ЄП,2,0.0005,0.05043
10,ЄТ,1,0.00025,0.02521
11,ЄШ,1,0.00025,0.02521
12,ЄЩ,1,0.00025,0.02521
13,ІЄ,2,0.0005,0.05043
14,ІІ,2,0.0005,0.05043
15,ІЇ,2,0.0005,0.05043
16,ІА,3,0.00076,0.07564
17,ІБ,4,0.00101,0.10086
18,ІВ,19,0.00479,0.47907
19,ІГ,3,0.00076,0.07564
20,ІД,17,0.00429,0.42864
21,ІЗ,11,0.00277,0.27736
22,ІЙ,3,0.00076,0.07564
23,ІК,6,0.00151,0.15129
24,ІЛ,20,0.00504,0.50429
25,ІМ,8,0.00202,0.20171
26,ІН,18,0.00454,0.45386
27,ІО,1,0.00025,0.02521
28,ІП,9,0.00227,0.22693
29,ІР,8,0.00202,0.20171
30,ІС,28,0.00706,0.706
31,ІТ,19,0.00479,0.47907
32,ІХ,4,0.00101,0.10086
33,ІЦ,3,0.00076,0.07564
34,ІЧ,1,0.00025,0.02521
35,ІШ,5,0.00126,0.12607
36,ІЩ,1,0.00025,0.02521
37,ІЯ,2,0.0005,0.05043
38,ЇЇ,5,0.00126,0.12607
39,ЇБ,1,0.00025,0.02521
40,ЇВ,3,0.00076,0.07564
41,ЇД,4,0.00101,0.10086
42,ЇЙ,5,0.00126,0.12607
43,ЇК,1,0.00025,0.02521
44,ЇЛ,1,0.00025,0.02521
45,ЇМ,1,0.00025,0.02521
46,ЇН,3,0.00076,0.07564
47,ЇП,1,0.00025,0.02521
48,ЇС,1,0.00025,0.02521
49,ЇХ,1,0.00025,0.02521
50,АЄ,5,0.00126,0.12607
51,АЇ,2,0.0005,0.05043
52,АА,6,0.00151,0.15129
53,АБ,18,0.00454,0.45386
54,АВ,32,0.00807,0.80686
55,АГ,10,0.00252,0.25214
56,АД,11,0.00277,0.27736
57,АЕ,1,0.00025,0.02521
58,АЖ,4,0.00101,0.10086
59,АЗ,14,0.00353,0.353
60,АЙ,16,0.00403,0.40343
61,АК,26,0.00656,0.65557
62,АЛ,58,0.01462,1.46243
63,АМ,11,0.00277,0.27736
64,АН,31,0.00782,0.78164
65,АО,5,0.00126,0.12607
66,АП,21,0.0053,0.5295
67,АР,13,0.00328,0.32779
68,АС,32,0.00807,0.80686
69,АТ,23,0.0058,0.57993
70,АУ,5,0.00126,0.12607
71,АХ,6,0.00151,0.15129
72,АЦ,3,0.00076,0.07564
73,АЧ,5,0.00126,0.12607
74,АШ,2,0.0005,0.05043
75,АЩ,9,0.00227,0.22693
76,АЮ,2,0.0005,0.05043
77,АЯ,4,0.00101,0.10086
78,БЄ,1,0.00025,0.02521
79,БІ,8,0.00202,0.20171
80,БА,7,0.00177,0.1765
81,ББ,1,0.00025,0.02521
82,БЕ,7,0.00177,0.1765
83,БИ,8,0.00202,0.20171
84,БК,1,0.00025,0.02521
85,БЛ,3,0.00076,0.07564
86,БО,11,0.00277,0.27736
87,БР,5,0.00126,0.12607
88,БТ,2,0.0005,0.05043
89,БУ,24,0.00605,0.60514
90,БЯ,1,0.00025,0.02521
91,ВІ,26,0.00656,0.65557
92,ВА,27,0.00681,0.68079
93,ВБ,2,0.0005,0.05043
94,ВВ,1,0.00025,0.02521
95,ВГ,7,0.00177,0.1765
96,ВД,4,0.00101,0.10086
97,ВЕ,12,0.00303,0.30257
98,ВЖ,3,0.00076,0.07564
99,ВЗ,8,0.00202,0.20171
100,ВИ,21,0.0053,0.5295
101,ВК,4,0.00101,0.10086
102,ВЛ,2,0.0005,0.05043
103,ВН,4,0.00101,0.10086
104,ВО,28,0.00706,0.706
105,ВП,2,0.0005,0.05043
106,ВР,1,0.00025,0.02521
107,ВС,11,0.00277,0.27736
108,ВТ,6,0.00151,0.15129
109,ВУ,10,0.00252,0.25214
110,ВЦ,1,0.00025,0.02521
111,ВЧ,4,0.00101,0.10086
112,ВШ,2,0.0005,0.05043
113,ВЩ,1,0.00025,0.02521
114,ВЯ,2,0.0005,0.05043
115,ГІ,1,0.00025,0.02521
116,ГА,5,0.00126,0.12607
117,ГЗ,1,0.00025,0.02521
118,ГИ,3,0.00076,0.07564
119,ГЛ,8,0.00202,0.20171
120,ГО,34,0.00857,0.85729
121,ГР,2,0.0005,0.05043
122,ГУ,6,0.00151,0.15129
123,ДІ,17,0.00429,0.42864
124,ДА,14,0.00353,0.353
125,ДВ,5,0.00126,0.12607
126,ДД,1,0.00025,0.02521
127,ДЕ,12,0.00303,0.30257
128,ДЖ,1,0.00025,0.02521
129,ДИ,17,0.00429,0.42864
130,ДК,1,0.00025,0.02521
131,ДЛ,1,0.00025,0.02521
132,ДН,11,0.00277,0.27736
133,ДО,26,0.00656,0.65557
134,ДП,2,0.0005,0.05043
135,ДР,4,0.00101,0.10086
136,ДС,1,0.00025,0.02521
137,ДТ,1,0.00025,0.02521
138,ДУ,9,0.00227,0.22693
139,ДЧ,1,0.00025,0.02521
140,ДЬ,1,0.00025,0.02521
141,ДЯ,10,0.00252,0.25214
142,ЕЇ,2,0.0005,0.05043
143,ЕА,3,0.00076,0.07564
144,ЕБ,3,0.00076,0.07564
145,ЕВ,15,0.00378,0.37821
146,ЕГ,1,0.00025,0.02521
147,ЕД,12,0.00303,0.30257
148,ЕЖ,3,0.00076,0.07564
149,ЕЗ,16,0.00403,0.40343
150,ЕЙ,4,0.00101,0.10086
151,ЕК,6,0.00151,0.15129
152,ЕЛ,8,0.00202,0.20171
153,ЕМ,10,0.00252,0.25214
154,ЕН,26,0.00656,0.65557
155,ЕО,2,0.0005,0.05043
156,ЕП,9,0.00227,0.22693
157,ЕР,17,0.00429,0.42864
158,ЕС,7,0.00177,0.1765
159,ЕТ,8,0.00202,0.20171
160,ЕЦ,1,0.00025,0.02521
161,ЕЧ,5,0.00126,0.12607
162,ЕШ,1,0.00025,0.02521
163,ЕЩ,1,0.00025,0.02521
164,ЕЮ,1,0.00025,0.02521
165,ЕЯ,2,0.0005,0.05043
166,ЖА,3,0.00076,0.07564
167,ЖБ,2,0.0005,0.05043
168,ЖЕ,9,0.00227,0.22693
