№,Символ,Кільк.,Імовірність,%
1,ЄЇМ,1,0.00025,0.02521
2,ЄАЛ,1,0.00025,0.02521
3,ЄБО,1,0.00025,0.02521
4,ЄГО,1,0.00025,0.02521
5,ЄКО,1,0.00025,0.02521
6,ЄМУ,1,0.00025,0.02521
7,ЄНУ,1,0.00025,0.02521
8,ЄОТ,1,0.00025,0.02521
9,ЄПИ,1,0.00025,0.02521
10,ЄПО,1,0.00025,0.02521
11,ЄТЬ,1,0.00025,0.02521
12,ЄШВ,1,0.00025,0.02521
13,ЄЩО,1,0.00025,0.02521
14,ІЄЇ,1,0.00025,0.02521
15,ІЄГ,1,0.00025,0.02521
16,ІІС,1,0.00025,0.02521
17,ІІХ,1,0.00025,0.02521
18,ІЇЙ,2,0.0005,0.05043
19,ІАЛ,3,0.00076,0.07564
20,ІБЕ,2,0.0005,0.05043
21,ІБИ,1,0.00025,0.02521
22,ІБУ,1,0.00025,0.02521
23,ІВБ,1,0.00025,0.02521
24,ІВГ,1,0.00025,0.02521
25,ІВЗ,1,0.00025,0.02521
26,ІВК,1,0.00025,0.02521
27,ІВН,3,0.00076,0.07564
28,ІВО,4,0.00101,0.10086
29,ІВС,2,0.0005,0.05043
30,ІВТ,3,0.00076,0.07564
31,ІВЧ,2,0.0005,0.05043
32,ІВЩ,1,0.00025,0.02521
33,ІГЗ,1,0.00025,0.02521
34,ІГЛ,1,0.00025,0.02521
35,ІГО,1,0.00025,0.02521
36,ІДІ,1,0.00025,0.02521
37,ІДВ,3,0.00076,0.07564
38,ІДД,1,0.00025,0.02521
39,ІДЖ,1,0.00025,0.02521
40,ІДН,3,0.00076,0.07564
41,ІДО,2,0.0005,0.05043
42,ІДП,2,0.0005,0.05043
43,ІДР,1,0.00025,0.02521
44,ІДС,1,0.00025,0.02521
45,ІДТ,1,0.00025,0.02521
46,ІДЧ,1,0.00025,0.02521
47,ІЗА,1,0.00025,0.02521
48,ІЗВ,1,0.00025,0.02521
49,ІЗД,1,0.00025,0.02521
50,ІЗН,5,0.00126,0.12607
51,ІЗР,1,0.00025,0.02521
52,ІЗЬ,2,0.0005,0.05043
53,ІЙД,1,0.00025,0.02521
54,ІЙК,1,0.00025,0.02521
55,ІЙЯ,1,0.00025,0.02521
56,ІКА,2,0.0005,0.05043
57,ІКИ,1,0.00025,0.02521
58,ІКО,2,0.0005,0.05043
59,ІКУ,1,0.00025,0.02521
60,ІЛА,7,0.00177,0.1765
61,ІЛИ,2,0.0005,0.05043
62,ІЛК,2,0.0005,0.05043
63,ІЛО,3,0.00076,0.07564
64,ІЛЬ,6,0.00151,0.15129
65,ІМА,1,0.00025,0.02521
66,ІМБ,1,0.00025,0.02521
67,ІМИ,2,0.0005,0.05043
68,ІМН,1,0.00025,0.02521
69,ІМО,3,0.00076,0.07564
70,ІНІ,2,0.0005,0.05043
71,ІНА,4,0.00101,0.10086
72,ІНБ,1,0.00025,0.02521
73,ІНГ,1,0.00025,0.02521
74,ІНЕ,2,0.0005,0.05043
75,ІНИ,1,0.00025,0.02521
76,ІНН,1,0.00025,0.02521
77,ІНО,4,0.00101,0.10086
78,ІНП,1,0.00025,0.02521
79,ІНЧ,1,0.00025,0.02521
80,ІОС,1,0.00025,0.02521
81,ІПІ,2,0.0005,0.05043
82,ІПИ,1,0.00025,0.02521
83,ІПК,1,0.00025,0.02521
84,ІПО,5,0.00126,0.12607
