№,Символ,Кільк.,Імовірність,%
1, ,88,0.15884,15.88448
2,Є,6,0.01083,1.08303
3,І,22,0.03971,3.97112
4,Ї,2,0.00361,0.36101
5,А,34,0.06137,6.13718
6,Б,6,0.01083,1.08303
7,В,28,0.05054,5.05415
8,Г,7,0.01264,1.26354
9,Д,16,0.02888,2.88809
10,Е,42,0.07581,7.58123
11,Ж,4,0.00722,0.72202
12,З,13,0.02347,2.34657
13,И,27,0.04874,4.87365
14,Й,9,0.01625,1.62455
15,К,7,0.01264,1.26354
16,Л,11,0.01986,1.98556
17,М,10,0.01805,1.80505
18,Н,31,0.05596,5.59567
19,О,37,0.06679,6.6787
20,П,10,0.01805,1.80505
21,Р,28,0.05054,5.05415
22,С,27,0.04874,4.87365
23,Т,31,0.05596,5.59567
24,У,8,0.01444,1.44404
25,Ф,1,0.00181,0.18051
26,Х,9,0.01625,1.62455
27,Ц,11,0.01986,1.98556
28,Ч,5,0.00903,0.90253
29,Ш,1,0.00181,0.18051
30,Щ,4,0.00722,0.72202
31,Ь,10,0.01805,1.80505
32,Ю,1,0.00181,0.18051
33,Я,8,0.01444,1.44404
