№,Символ,Кільк.,Імовірність
1,+,11,0.00779
2,/,11,0.00779
3,0,163,0.11544
4,1,12,0.0085
5,2,1,0.00071
6,3,10,0.00708
7,4,11,0.00779
8,5,2,0.00142
9,7,15,0.01062
10,8,6,0.00425
11,9,23,0.01629
12,A,19,0.01346
13,B,8,0.00567
14,C,130,0.09207
15,D,42,0.02975
16,E,2,0.00142
17,F,3,0.00212
18,G,64,0.04533
19,H,13,0.00921
20,I,30,0.02125
21,J,3,0.00212
22,K,11,0.00779
23,L,118,0.08357
24,M,6,0.00425
25,N,61,0.0432
26,O,1,0.00071
27,P,5,0.00354
28,Q,114,0.08074
29,R,47,0.03329
30,S,8,0.00567
31,T,2,0.00142
32,U,12,0.0085
33,W,8,0.00567
34,X,12,0.0085
35,Y,43,0.03045
36,Z,9,0.00637
37,a,1,0.00071
38,b,9,0.00637
39,c,1,0.00071
40,d,31,0.02195
41,f,7,0.00496
42,g,69,0.04887
43,h,8,0.00567
44,i,7,0.00496
45,j,14,0.00992
46,k,8,0.00567
47,l,10,0.00708
48,m,2,0.00142
49,n,4,0.00283
50,o,5,0.00354
51,p,1,0.00071
52,q,2,0.00142
53,r,16,0.01133
54,s,25,0.01771
55,t,78,0.05524
56,u,15,0.01062
57,v,32,0.02266
58,w,15,0.01062
59,x,1,0.00071
60,y,10,0.00708
61,z,5,0.00354
