№,Символ,Кільк.,Імовірність,%
1,ЄДЕ,1,0.00215,0.21505
2,ЄМ,1,0.00215,0.21505
3,ЄМС,2,0.0043,0.43011
4,ЄОХ,1,0.00215,0.21505
5,ЄСИ,1,0.00215,0.21505
6,ІЄД,1,0.00215,0.21505
7,ІЇЗ,1,0.00215,0.21505
8,ІДТ,1,0.00215,0.21505
9,ІЗЖ,1,0.00215,0.21505
10,ІЗЗ,1,0.00215,0.21505
11,ІЗО,1,0.00215,0.21505
12,ІЗЬ,1,0.00215,0.21505
13,ІЙВ,1,0.00215,0.21505
14,ІЙЕ,1,0.00215,0.21505
15,ІКО,1,0.00215,0.21505
16,ІКУ,1,0.00215,0.21505
17,ІЛІ,1,0.00215,0.21505
18,ІНІ,1,0.00215,0.21505
19,ІНЩ,1,0.00215,0.21505
20,ІПР,1,0.00215,0.21505
21,ІРВ,1,0.00215,0.21505
22,ІСП,1,0.00215,0.21505
23,ІСТ,1,0.00215,0.21505
24,ІТЕ,4,0.0086,0.86022
25,ЇЗІ,1,0.00215,0.21505
26,ЇТІ,1,0.00215,0.21505
27,АЄМ,3,0.00645,0.64516
28,АЄС,1,0.00215,0.21505
29,АБА,1,0.00215,0.21505
30,АБУ,1,0.00215,0.21505
31,АВІ,1,0.00215,0.21505
32,АВН,1,0.00215,0.21505
33,АВС,1,0.00215,0.21505
34,АГР,1,0.00215,0.21505
35,АДЕ,1,0.00215,0.21505
36,АДН,1,0.00215,0.21505
37,АДР,3,0.00645,0.64516
38,АЗН,1,0.00215,0.21505
39,АЙТ,1,0.00215,0.21505
40,АЙЧ,1,0.00215,0.21505
41,АКО,1,0.00215,0.21505
42,АЛЕ,1,0.00215,0.21505
43,АММ,1,0.00215,0.21505
44,АМП,1,0.00215,0.21505
45,АРИ,2,0.0043,0.43011
46,АРН,1,0.00215,0.21505
47,АСЩ,1,0.00215,0.21505
48,АТИ,1,0.00215,0.21505
49,АХА,1,0.00215,0.21505
50,АХД,1,0.00215,0.21505
51,АХО,2,0.0043,0.43011
52,АЦЕ,1,0.00215,0.21505
53,АЧЕ,1,0.00215,0.21505
54,АШИ,1,0.00215,0.21505
55,БІЛ,1,0.00215,0.21505
56,БАЧ,1,0.00215,0.21505
57,БЗР,1,0.00215,0.21505
58,БИТ,1,0.00215,0.21505
59,БОВ,1,0.00215,0.21505
60,БУВ,1,0.00215,0.21505
61,ВІЄ,1,0.00215,0.21505
62,ВІД,1,0.00215,0.21505
63,ВІЗ,1,0.00215,0.21505
64,ВІЙ,1,0.00215,0.21505
65,ВІН,1,0.00215,0.21505
66,ВІС,1,0.00215,0.21505
67,ВІТ,3,0.00645,0.64516
68,ВАВ,1,0.00215,0.21505
69,ВАЙ,1,0.00215,0.21505
70,ВАК,1,0.00215,0.21505
71,ВАР,1,0.00215,0.21505
72,ВАТ,1,0.00215,0.21505
73,ВЕТ,1,0.00215,0.21505
74,ВЖЕ,1,0.00215,0.21505
75,ВНІ,1,0.00215,0.21505
76,ВОЇ,1,0.00215,0.21505
77,ВОГ,1,0.00215,0.21505
78,ВОН,3,0.00645,0.64516
79,ВСВ,1,0.00215,0.21505
80,ВСЕ,1,0.00215,0.21505
81,ВСО,1,0.00215,0.21505
82,ВСЯ,2,0.0043,0.43011
83,ВУН,1,0.00215,0.21505
84,ГАР,1,0.00215,0.21505
85,ГНИ,1,0.00215,0.21505
86,ГОН,1,0.00215,0.21505
87,ГОР,2,0.0043,0.43011
88,ГОС,1,0.00215,0.21505
89,ГРИ,1,0.00215,0.21505
90,ДАЄ,1,0.00215,0.21505
91,ДЕМ,1,0.00215,0.21505
92,ДЕС,2,0.0043,0.43011
93,ДЕТ,1,0.00215,0.21505
94,ДИТ,1,0.00215,0.21505
95,ДНЕ,2,0.0043,0.43011
96,ДНЯ,1,0.00215,0.21505
97,ДРА,3,0.00645,0.64516
98,ДТЕ,1,0.00215,0.21505
99,ДУТ,1,0.00215,0.21505
100,ДЯТ,2,0.0043,0.43011
101,ЕВО,1,0.00215,0.21505
102,ЕГА,1,0.00215,0.21505
103,ЕДЕ,1,0.00215,0.21505
104,ЕЖД,1,0.00215,0.21505
105,ЕЗА,2,0.0043,0.43011
106,ЕЙР,1,0.00215,0.21505
107,ЕЙЧ,1,0.00215,0.21505
108,ЕМВ,1,0.00215,0.21505
109,ЕМД,1,0.00215,0.21505
110,ЕМЗ,1,0.00215,0.21505
111,ЕНІ,1,0.00215,0.21505
112,ЕНА,4,0.0086,0.86022
113,ЕПЕ,2,0.0043,0.43011
114,ЕПЛ,1,0.00215,0.21505
115,ЕПР,1,0.00215,0.21505
116,ЕПТ,1,0.00215,0.21505
117,ЕРВ,5,0.01075,1.07527
118,ЕРЛ,1,0.00215,0.21505
119,ЕРР,1,0.00215,0.21505
120,ЕРТ,2,0.0043,0.43011
121,ЕСО,3,0.00645,0.64516
122,ЕСТ,1,0.00215,0.21505
123,ЕСЬ,2,0.0043,0.43011
124,ЕТА,3,0.00645,0.64516
125,ЕЧЕ,2,0.0043,0.43011
126,ЕЩО,1,0.00215,0.21505
127,ЖДЕ,1,0.00215,0.21505
128,ЖЕР,1,0.00215,0.21505
129,ЖЕС,1,0.00215,0.21505
130,ЖИЛ,1,0.00215,0.21505
131,ЗІР,1,0.00215,0.21505
132,ЗІС,1,0.00215,0.21505
133,ЗАБ,1,0.00215,0.21505
134,ЗАД,1,0.00215,0.21505
135,ЗАХ,2,0.0043,0.43011
136,ЗЖИ,1,0.00215,0.21505
137,ЗЗО,1,0.00215,0.21505
138,ЗНА,1,0.00215,0.21505
139,ЗОЛ,1,0.00215,0.21505
140,ЗОР,1,0.00215,0.21505
141,ЗРО,1,0.00215,0.21505
142,ЗЬК,1,0.00215,0.21505
143,ИЄО,1,0.00215,0.21505
144,ИВІ,2,0.0043,0.43011
145,ИЙВ,1,0.00215,0.21505
146,ИЙД,1,0.00215,0.21505
147,ИЙХ,1,0.00215,0.21505
148,ИЛІ,2,0.0043,0.43011
149,ИЛУ,1,0.00215,0.21505
150,ИНІ,1,0.00215,0.21505
151,ИНЕ,1,0.00215,0.21505
152,ИНИ,3,0.00645,0.64516
153,ИРО,1,0.00215,0.21505
154,ИСВ,1,0.00215,0.21505
155,ИСО,1,0.00215,0.21505
156,ИСП,1,0.00215,0.21505
157,ИСТ,1,0.00215,0.21505
158,ИСХ,1,0.00215,0.21505
159,ИТА,1,0.00215,0.21505
160,ИТИ,2,0.0043,0.43011
161,ИТЬ,2,0.0043,0.43011
162,ИФВ,1,0.00215,0.21505
