№,Символ,Кільк.,Імовірність,%
1, ,10520,0.17281,17.28131
2,Є,204,0.00335,0.33511
3,І,2659,0.04368,4.36797
4,Ї,187,0.00307,0.30719
5,А,4219,0.06931,6.9306
6,Б,894,0.01469,1.46858
7,В,2947,0.04841,4.84107
8,Г,947,0.01556,1.55565
9,Д,1722,0.02829,2.82875
10,Е,2847,0.04677,4.6768
11,Ж,724,0.01189,1.18932
12,З,1332,0.02188,2.18809
13,И,3186,0.05234,5.23368
14,Й,714,0.01173,1.1729
15,К,1844,0.03029,3.02916
16,Л,1792,0.02944,2.94374
17,М,1603,0.02633,2.63326
18,Н,2942,0.04833,4.83285
19,О,4778,0.07849,7.84887
20,П,1582,0.02599,2.59877
21,Р,2193,0.03602,3.60246
22,С,1936,0.0318,3.18029
23,Т,2428,0.03989,3.9885
24,У,1790,0.0294,2.94045
25,Ф,60,0.00099,0.09856
26,Х,466,0.00766,0.7655
27,Ц,384,0.00631,0.6308
28,Ч,731,0.01201,1.20082
29,Ш,502,0.00825,0.82464
30,Щ,396,0.00651,0.65051
31,Ь,716,0.01176,1.17618
32,Ю,317,0.00521,0.52074
33,Я,1311,0.02154,2.15359
34,Ґ,2,3.0e-05,0.00329
