№,Символ,Кільк.,Імовірність,%
1,ЄЄ,1,2.0e-05,0.00199
2,ЄІ,3,6.0e-05,0.00596
3,ЄЇ,15,0.0003,0.02979
4,ЄА,5,0.0001,0.00993
5,ЄВ,7,0.00014,0.0139
6,ЄГ,1,2.0e-05,0.00199
7,ЄД,10,0.0002,0.01986
8,ЄЖ,1,2.0e-05,0.00199
9,ЄЗ,5,0.0001,0.00993
10,ЄК,2,4.0e-05,0.00397
11,ЄЛ,2,4.0e-05,0.00397
12,ЄМ,25,0.0005,0.04965
13,ЄН,13,0.00026,0.02582
14,ЄО,7,0.00014,0.0139
15,ЄП,16,0.00032,0.03178
16,ЄР,5,0.0001,0.00993
17,ЄС,7,0.00014,0.0139
18,ЄТ,54,0.00107,0.10724
19,ЄУ,1,2.0e-05,0.00199
20,ЄХ,1,2.0e-05,0.00199
21,ЄЧ,3,6.0e-05,0.00596
22,ЄШ,12,0.00024,0.02383
23,ЄЩ,3,6.0e-05,0.00596
24,ЄЮ,5,0.0001,0.00993
25,ІЄ,21,0.00042,0.0417
26,ІІ,12,0.00024,0.02383
27,ІЇ,12,0.00024,0.02383
28,ІА,20,0.0004,0.03972
29,ІБ,49,0.00097,0.09731
30,ІВ,298,0.00592,0.59181
31,ІГ,31,0.00062,0.06156
32,ІД,333,0.00661,0.66132
33,ІЖ,32,0.00064,0.06355
34,ІЗ,143,0.00284,0.28399
35,ІЙ,105,0.00209,0.20852
36,ІК,69,0.00137,0.13703
37,ІЛ,231,0.00459,0.45875
38,ІМ,113,0.00224,0.22441
39,ІН,253,0.00502,0.50244
40,ІО,21,0.00042,0.0417
41,ІП,79,0.00157,0.15689
42,ІР,92,0.00183,0.18271
43,ІС,207,0.00411,0.41109
44,ІТ,225,0.00447,0.44684
45,ІУ,12,0.00024,0.02383
46,ІФ,4,8.0e-05,0.00794
47,ІХ,27,0.00054,0.05362
48,ІЦ,23,0.00046,0.04568
49,ІЧ,61,0.00121,0.12114
50,ІШ,72,0.00143,0.14299
51,ІЩ,27,0.00054,0.05362
52,ІЮ,12,0.00024,0.02383
53,ІЯ,75,0.00149,0.14895
54,ЇІ,2,4.0e-05,0.00397
55,ЇЇ,14,0.00028,0.0278
56,ЇА,3,6.0e-05,0.00596
57,ЇБ,5,0.0001,0.00993
58,ЇВ,9,0.00018,0.01787
59,ЇГ,10,0.0002,0.01986
60,ЇД,3,6.0e-05,0.00596
61,ЇЖ,1,2.0e-05,0.00199
62,ЇЗ,16,0.00032,0.03178
63,ЇЙ,6,0.00012,0.01192
64,ЇК,9,0.00018,0.01787
65,ЇЛ,3,6.0e-05,0.00596
66,ЇМ,17,0.00034,0.03376
67,ЇН,14,0.00028,0.0278
68,ЇО,1,2.0e-05,0.00199
69,ЇП,10,0.0002,0.01986
70,ЇР,10,0.0002,0.01986
71,ЇС,10,0.0002,0.01986
72,ЇТ,9,0.00018,0.01787
73,ЇУ,2,4.0e-05,0.00397
74,ЇХ,22,0.00044,0.04369
75,ЇЦ,1,2.0e-05,0.00199
76,ЇЧ,5,0.0001,0.00993
77,ЇШ,1,2.0e-05,0.00199
78,ЇЩ,2,4.0e-05,0.00397
79,ЇЯ,2,4.0e-05,0.00397
80,АЄ,108,0.00214,0.21448
81,АІ,23,0.00046,0.04568
82,АЇ,13,0.00026,0.02582
83,АА,29,0.00058,0.05759
84,АБ,82,0.00163,0.16285
85,АВ,501,0.00995,0.99496
86,АГ,92,0.00183,0.18271
87,АД,219,0.00435,0.43492
88,АЕ,6,0.00012,0.01192
89,АЖ,116,0.0023,0.23037
90,АЗ,184,0.00365,0.36541
91,АЙ,156,0.0031,0.30981
92,АК,276,0.00548,0.54812
93,АЛ,356,0.00707,0.70699
94,АМ,300,0.00596,0.59578
95,АН,360,0.00715,0.71494
96,АО,20,0.0004,0.03972
97,АП,203,0.00403,0.40315
98,АР,167,0.00332,0.33165
99,АС,215,0.00427,0.42698
100,АТ,282,0.0056,0.56003
101,АУ,20,0.0004,0.03972
102,АФ,4,8.0e-05,0.00794
103,АХ,93,0.00185,0.18469
104,АЦ,38,0.00075,0.07547
105,АЧ,129,0.00256,0.25619
106,АШ,62,0.00123,0.12313
107,АЩ,63,0.00125,0.12511
108,АЮ,57,0.00113,0.1132
109,АЯ,44,0.00087,0.08738
110,БЄ,1,2.0e-05,0.00199
111,БІ,88,0.00175,0.17476
112,БЇ,2,4.0e-05,0.00397
113,БА,105,0.00209,0.20852
114,ББ,4,8.0e-05,0.00794
115,БВ,9,0.00018,0.01787
116,БГ,2,4.0e-05,0.00397
117,БД,7,0.00014,0.0139
118,БЕ,53,0.00105,0.10525
119,БЖ,1,2.0e-05,0.00199
120,БЗ,9,0.00018,0.01787
121,БИ,109,0.00216,0.21647
122,БЙ,3,6.0e-05,0.00596
123,БК,4,8.0e-05,0.00794
124,БЛ,51,0.00101,0.10128
125,БМ,6,0.00012,0.01192
126,БН,23,0.00046,0.04568
127,БО,112,0.00222,0.22243
128,БП,7,0.00014,0.0139
129,БР,71,0.00141,0.141
130,БС,6,0.00012,0.01192
131,БТ,22,0.00044,0.04369
132,БУ,178,0.00353,0.3535
133,БЦ,4,8.0e-05,0.00794
134,БЧ,1,2.0e-05,0.00199
135,БШ,6,0.00012,0.01192
136,БЩ,2,4.0e-05,0.00397
137,БЯ,8,0.00016,0.01589
138,ВЄ,2,4.0e-05,0.00397
139,ВІ,447,0.00888,0.88771
140,ВЇ,1,2.0e-05,0.00199
141,ВА,433,0.0086,0.85991
142,ВБ,34,0.00068,0.06752
143,ВВ,42,0.00083,0.08341
144,ВГ,25,0.0005,0.04965
145,ВД,71,0.00141,0.141
146,ВЕ,133,0.00264,0.26413
147,ВЖ,98,0.00195,0.19462
148,ВЗ,78,0.00155,0.1549
149,ВИ,382,0.00759,0.75863
150,ВЙ,17,0.00034,0.03376
151,ВК,55,0.00109,0.10923
152,ВЛ,44,0.00087,0.08738
153,ВМ,37,0.00073,0.07348
154,ВН,159,0.00316,0.31576
155,ВО,241,0.00479,0.47861
156,ВП,75,0.00149,0.14895
157,ВР,22,0.00044,0.04369
158,ВС,214,0.00425,0.42499
159,ВТ,58,0.00115,0.11518
160,ВУ,81,0.00161,0.16086
161,ВХ,8,0.00016,0.01589
162,ВЦ,9,0.00018,0.01787
163,ВЧ,22,0.00044,0.04369
164,ВШ,67,0.00133,0.13306
165,ВЩ,27,0.00054,0.05362
166,ВЯ,65,0.00129,0.12909
167,ГІ,31,0.00062,0.06156
168,ГА,163,0.00324,0.32371
169,ГБ,1,2.0e-05,0.00199
170,ГВ,2,4.0e-05,0.00397
171,ГД,5,0.0001,0.00993
172,ГЕ,15,0.0003,0.02979
173,ГЗ,3,6.0e-05,0.00596
174,ГИ,12,0.00024,0.02383
175,ГК,5,0.0001,0.00993
176,ГЛ,87,0.00173,0.17278
177,ГМ,1,2.0e-05,0.00199
178,ГН,13,0.00026,0.02582
179,ГО,429,0.00852,0.85197
180,ГП,1,2.0e-05,0.00199
181,ГР,137,0.00272,0.27207
182,ГС,1,2.0e-05,0.00199
183,ГТ,4,8.0e-05,0.00794
184,ГУ,32,0.00064,0.06355
185,ГЧ,1,2.0e-05,0.00199
186,ГШ,2,4.0e-05,0.00397
187,ГЯ,2,4.0e-05,0.00397
188,ДІ,131,0.0026,0.26016
189,ДА,199,0.00395,0.3952
190,ДБ,4,8.0e-05,0.00794
191,ДВ,64,0.00127,0.1271
192,ДГ,4,8.0e-05,0.00794
193,ДД,18,0.00036,0.03575
194,ДЕ,153,0.00304,0.30385
195,ДЖ,95,0.00189,0.18866
