№,Символ,Кільк.,Імовірність,%
1,ЄЄО,1,2.0e-05,0.00199
2,ЄІМ,1,2.0e-05,0.00199
3,ЄІО,1,2.0e-05,0.00199
4,ЄІЯ,1,2.0e-05,0.00199
5,ЄЇЗ,2,4.0e-05,0.00397
6,ЄЇК,1,2.0e-05,0.00199
7,ЄЇЛ,1,2.0e-05,0.00199
8,ЄЇМ,2,4.0e-05,0.00397
9,ЄЇН,2,4.0e-05,0.00397
10,ЄЇП,1,2.0e-05,0.00199
11,ЄЇР,3,6.0e-05,0.00596
12,ЄЇС,2,4.0e-05,0.00397
13,ЄЇЦ,1,2.0e-05,0.00199
14,ЄАЛ,2,4.0e-05,0.00397
15,ЄАО,1,2.0e-05,0.00199
16,ЄАТ,1,2.0e-05,0.00199
17,ЄАЦ,1,2.0e-05,0.00199
18,ЄВІ,1,2.0e-05,0.00199
19,ЄВИ,2,4.0e-05,0.00397
20,ЄВК,1,2.0e-05,0.00199
21,ЄВТ,1,2.0e-05,0.00199
22,ЄВЦ,2,4.0e-05,0.00397
23,ЄГІ,1,2.0e-05,0.00199
24,ЄДА,1,2.0e-05,0.00199
25,ЄДВ,1,2.0e-05,0.00199
26,ЄДЖ,1,2.0e-05,0.00199
27,ЄДИ,4,8.0e-05,0.00794
28,ЄДН,1,2.0e-05,0.00199
29,ЄДУ,2,4.0e-05,0.00397
30,ЄЖО,1,2.0e-05,0.00199
31,ЄЗА,3,6.0e-05,0.00596
32,ЄЗЕ,1,2.0e-05,0.00199
33,ЄЗН,1,2.0e-05,0.00199
34,ЄКО,1,2.0e-05,0.00199
35,ЄКР,1,2.0e-05,0.00199
36,ЄЛІ,1,2.0e-05,0.00199
37,ЄЛЕ,1,2.0e-05,0.00199
38,ЄМІ,1,2.0e-05,0.00199
39,ЄМА,1,2.0e-05,0.00199
40,ЄМН,8,0.00016,0.01589
41,ЄМО,13,0.00026,0.02582
42,ЄМР,1,2.0e-05,0.00199
43,ЄМУ,1,2.0e-05,0.00199
44,ЄНІ,1,2.0e-05,0.00199
45,ЄНА,8,0.00016,0.01589
46,ЄНЕ,1,2.0e-05,0.00199
47,ЄНИ,1,2.0e-05,0.00199
48,ЄНО,1,2.0e-05,0.00199
49,ЄНТ,1,2.0e-05,0.00199
50,ЄОД,1,2.0e-05,0.00199
51,ЄОЗ,5,0.0001,0.00993
52,ЄОО,1,2.0e-05,0.00199
53,ЄПІ,2,4.0e-05,0.00397
54,ЄПА,1,2.0e-05,0.00199
55,ЄПИ,8,0.00016,0.01589
56,ЄПО,3,6.0e-05,0.00596
57,ЄПР,2,4.0e-05,0.00397
58,ЄРІ,2,4.0e-05,0.00397
59,ЄРА,1,2.0e-05,0.00199
60,ЄРО,2,4.0e-05,0.00397
61,ЄСВ,1,2.0e-05,0.00199
62,ЄСК,1,2.0e-05,0.00199
63,ЄСЛ,3,6.0e-05,0.00596
64,ЄСО,1,2.0e-05,0.00199
65,ЄСП,1,2.0e-05,0.00199
66,ЄТІ,1,2.0e-05,0.00199
67,ЄТА,2,4.0e-05,0.00397
68,ЄТЕ,25,0.0005,0.04965
69,ЄТН,2,4.0e-05,0.00397
70,ЄТЬ,24,0.00048,0.04766
71,ЄУВ,1,2.0e-05,0.00199
72,ЄХТ,1,2.0e-05,0.00199
73,ЄЧА,1,2.0e-05,0.00199
74,ЄЧЕ,1,2.0e-05,0.00199
75,ЄЧО,1,2.0e-05,0.00199
76,ЄШД,3,6.0e-05,0.00596
77,ЄШЕ,1,2.0e-05,0.00199
78,ЄШН,1,2.0e-05,0.00199
79,ЄШТ,2,4.0e-05,0.00397
80,ЄШЧ,1,2.0e-05,0.00199
81,ЄШЩ,3,6.0e-05,0.00596
82,ЄШЯ,1,2.0e-05,0.00199
83,ЄЩО,3,6.0e-05,0.00596
84,ЄЮІ,1,2.0e-05,0.00199
85,ЄЮЛ,1,2.0e-05,0.00199
86,ЄЮН,1,2.0e-05,0.00199
87,ЄЮЧ,2,4.0e-05,0.00397
88,ІЄЇ,12,0.00024,0.02383
89,ІЄВ,1,2.0e-05,0.00199
90,ІЄМ,1,2.0e-05,0.00199
91,ІЄН,1,2.0e-05,0.00199
92,ІЄП,1,2.0e-05,0.00199
93,ІЄР,1,2.0e-05,0.00199
94,ІЄЧ,1,2.0e-05,0.00199
95,ІЄЮ,3,6.0e-05,0.00596
96,ІІБ,2,4.0e-05,0.00397
97,ІІВ,1,2.0e-05,0.00199
98,ІІД,1,2.0e-05,0.00199
99,ІІЗ,1,2.0e-05,0.00199
100,ІІН,3,6.0e-05,0.00596
101,ІІР,1,2.0e-05,0.00199
102,ІІС,1,2.0e-05,0.00199
103,ІІЩ,1,2.0e-05,0.00199
104,ІІЯ,1,2.0e-05,0.00199
105,ІЇІ,1,2.0e-05,0.00199
106,ІЇЇ,1,2.0e-05,0.00199
107,ІЇА,2,4.0e-05,0.00397
108,ІЇБ,1,2.0e-05,0.00199
109,ІЇК,1,2.0e-05,0.00199
110,ІЇП,1,2.0e-05,0.00199
111,ІЇТ,1,2.0e-05,0.00199
112,ІЇХ,1,2.0e-05,0.00199
113,ІЇЧ,2,4.0e-05,0.00397
114,ІЇЯ,1,2.0e-05,0.00199
115,ІАБ,3,6.0e-05,0.00596
116,ІАВ,2,4.0e-05,0.00397
117,ІАГ,2,4.0e-05,0.00397
118,ІАЖ,2,4.0e-05,0.00397
119,ІАК,1,2.0e-05,0.00199
120,ІАЛ,4,8.0e-05,0.00794
121,ІАМ,3,6.0e-05,0.00596
122,ІАТ,2,4.0e-05,0.00397
123,ІАЩ,1,2.0e-05,0.00199
124,ІБІ,1,2.0e-05,0.00199
125,ІБА,6,0.00012,0.01192
126,ІБГ,2,4.0e-05,0.00397
127,ІБЕ,1,2.0e-05,0.00199
128,ІБИ,8,0.00016,0.01589
129,ІБК,1,2.0e-05,0.00199
130,ІБЛ,2,4.0e-05,0.00397
131,ІБН,11,0.00022,0.02185
132,ІБР,2,4.0e-05,0.00397
133,ІБУ,15,0.0003,0.02979
134,ІВІ,25,0.0005,0.04965
135,ІВА,21,0.00042,0.0417
136,ІВБ,3,6.0e-05,0.00596
137,ІВВ,12,0.00024,0.02383
138,ІВД,8,0.00016,0.01589
139,ІВЕ,17,0.00034,0.03376
140,ІВЖ,13,0.00026,0.02582
141,ІВЗ,28,0.00056,0.05561
142,ІВИ,20,0.0004,0.03972
143,ІВК,10,0.0002,0.01986
144,ІВЛ,6,0.00012,0.01192
145,ІВМ,9,0.00018,0.01787
146,ІВН,38,0.00075,0.07547
147,ІВО,16,0.00032,0.03178
148,ІВП,12,0.00024,0.02383
149,ІВР,5,0.0001,0.00993
150,ІВС,16,0.00032,0.03178
151,ІВТ,12,0.00024,0.02383
152,ІВУ,9,0.00018,0.01787
153,ІВЦ,2,4.0e-05,0.00397
154,ІВЧ,3,6.0e-05,0.00596
155,ІВШ,3,6.0e-05,0.00596
156,ІВЩ,3,6.0e-05,0.00596
157,ІВЯ,7,0.00014,0.0139
158,ІГІ,3,6.0e-05,0.00596
159,ІГА,2,4.0e-05,0.00397
160,ІГБ,1,2.0e-05,0.00199
161,ІГВ,2,4.0e-05,0.00397
162,ІГД,2,4.0e-05,0.00397
163,ІГЗ,2,4.0e-05,0.00397
164,ІГЛ,1,2.0e-05,0.00199
165,ІГН,2,4.0e-05,0.00397
166,ІГО,4,8.0e-05,0.00794
167,ІГП,1,2.0e-05,0.00199
168,ІГР,5,0.0001,0.00993
169,ІГС,1,2.0e-05,0.00199
170,ІГУ,3,6.0e-05,0.00596
171,ІГЧ,1,2.0e-05,0.00199
172,ІГЯ,1,2.0e-05,0.00199
173,ІДІ,7,0.00014,0.0139
174,ІДА,24,0.00048,0.04766
175,ІДБ,2,4.0e-05,0.00397
176,ІДВ,16,0.00032,0.03178
177,ІДГ,2,4.0e-05,0.00397
178,ІДД,14,0.00028,0.0278
179,ІДЕ,16,0.00032,0.03178
180,ІДЖ,3,6.0e-05,0.00596
181,ІДЗ,7,0.00014,0.0139
182,ІДИ,4,8.0e-05,0.00794
183,ІДЙ,1,2.0e-05,0.00199
184,ІДК,21,0.00042,0.0417
185,ІДЛ,6,0.00012,0.01192
186,ІДМ,9,0.00018,0.01787
187,ІДН,37,0.00073,0.07348
188,ІДО,49,0.00097,0.09731
189,ІДП,25,0.0005,0.04965
190,ІДР,16,0.00032,0.03178
191,ІДС,27,0.00054,0.05362
192,ІДТ,9,0.00018,0.01787
193,ІДУ,12,0.00024,0.02383
194,ІДФ,1,2.0e-05,0.00199
195,ІДХ,3,6.0e-05,0.00596
196,ІДЦ,6,0.00012,0.01192
197,ІДЧ,11,0.00022,0.02185
198,ІДШ,3,6.0e-05,0.00596
199,ІДЯ,2,4.0e-05,0.00397
200,ІЖВ,2,4.0e-05,0.00397
201,ІЖГ,1,2.0e-05,0.00199
202,ІЖЖ,1,2.0e-05,0.00199
203,ІЖЗ,1,2.0e-05,0.00199
204,ІЖИ,3,6.0e-05,0.00596
205,ІЖК,1,2.0e-05,0.00199
206,ІЖМ,1,2.0e-05,0.00199
207,ІЖН,2,4.0e-05,0.00397
208,ІЖО,4,8.0e-05,0.00794
209,ІЖП,5,0.0001,0.00993
210,ІЖС,2,4.0e-05,0.00397
211,ІЖТ,2,4.0e-05,0.00397
212,ІЖУ,4,8.0e-05,0.00794
213,ІЖЧ,2,4.0e-05,0.00397
214,ІЖЯ,1,2.0e-05,0.00199
215,ІЗІ,2,4.0e-05,0.00397
216,ІЗА,31,0.00062,0.06156
217,ІЗБ,2,4.0e-05,0.00397
218,ІЗВ,4,8.0e-05,0.00794
219,ІЗГ,1,2.0e-05,0.00199
220,ІЗД,8,0.00016,0.01589
221,ІЗЕ,4,8.0e-05,0.00794
222,ІЗЗ,1,2.0e-05,0.00199
223,ІЗК,2,4.0e-05,0.00397
224,ІЗЛ,1,2.0e-05,0.00199
225,ІЗМ,5,0.0001,0.00993
226,ІЗН,30,0.0006,0.05958
227,ІЗО,5,0.0001,0.00993
228,ІЗП,4,8.0e-05,0.00794
229,ІЗР,4,8.0e-05,0.00794
230,ІЗС,1,2.0e-05,0.00199
231,ІЗТ,6,0.00012,0.01192
232,ІЗУ,2,4.0e-05,0.00397
233,ІЗХ,1,2.0e-05,0.00199
234,ІЗЧ,1,2.0e-05,0.00199
235,ІЗЩ,5,0.0001,0.00993
236,ІЗЬ,20,0.0004,0.03972
237,ІЗЯ,3,6.0e-05,0.00596
238,ІЙІ,4,8.0e-05,0.00794
239,ІЙБ,6,0.00012,0.01192
240,ІЙВ,1,2.0e-05,0.00199
241,ІЙГ,9,0.00018,0.01787
242,ІЙД,1,2.0e-05,0.00199
243,ІЙЕ,1,2.0e-05,0.00199
244,ІЙЗ,8,0.00016,0.01589
245,ІЙК,3,6.0e-05,0.00596
246,ІЙМ,12,0.00024,0.02383
247,ІЙН,7,0.00014,0.0139
248,ІЙО,7,0.00014,0.0139
249,ІЙП,11,0.00022,0.02185
250,ІЙР,2,4.0e-05,0.00397
251,ІЙС,17,0.00034,0.03376
252,ІЙТ,1,2.0e-05,0.00199
253,ІЙУ,6,0.00012,0.01192
254,ІЙФ,1,2.0e-05,0.00199
255,ІЙХ,1,2.0e-05,0.00199
256,ІЙЦ,1,2.0e-05,0.00199
257,ІЙШ,5,0.0001,0.00993
258,ІЙЩ,1,2.0e-05,0.00199
259,ІКІ,5,0.0001,0.00993
260,ІКА,15,0.0003,0.02979
261,ІКВ,4,8.0e-05,0.00794
262,ІКГ,1,2.0e-05,0.00199
263,ІКИ,1,2.0e-05,0.00199
264,ІКЛ,2,4.0e-05,0.00397
265,ІКМ,1,2.0e-05,0.00199
266,ІКО,24,0.00048,0.04766
267,ІКП,1,2.0e-05,0.00199
268,ІКР,2,4.0e-05,0.00397
269,ІКС,3,6.0e-05,0.00596
270,ІКТ,2,4.0e-05,0.00397
271,ІКУ,8,0.00016,0.01589
272,ІЛІ,12,0.00024,0.02383
273,ІЛА,11,0.00022,0.02185
274,ІЛЕ,14,0.00028,0.0278
275,ІЛЗ,2,4.0e-05,0.00397
276,ІЛИ,21,0.00042,0.0417
277,ІЛК,5,0.0001,0.00993
278,ІЛЛ,16,0.00032,0.03178
279,ІЛМ,1,2.0e-05,0.00199
280,ІЛН,3,6.0e-05,0.00596
281,ІЛО,26,0.00052,0.05163
282,ІЛТ,1,2.0e-05,0.00199
283,ІЛУ,7,0.00014,0.0139
284,ІЛХ,1,2.0e-05,0.00199
285,ІЛЦ,2,4.0e-05,0.00397
286,ІЛЬ,93,0.00185,0.18469
287,ІЛЯ,16,0.00032,0.03178
288,ІМІ,6,0.00012,0.01192
289,ІМА,12,0.00024,0.02383
290,ІМБ,5,0.0001,0.00993
291,ІМД,4,8.0e-05,0.00794
292,ІМЕ,8,0.00016,0.01589
293,ІМЖ,1,2.0e-05,0.00199
294,ІМЗ,5,0.0001,0.00993
295,ІМИ,14,0.00028,0.0278
296,ІМК,2,4.0e-05,0.00397
297,ІММ,2,4.0e-05,0.00397
298,ІМН,15,0.0003,0.02979
299,ІМО,21,0.00042,0.0417
300,ІМП,2,4.0e-05,0.00397
301,ІМР,2,4.0e-05,0.00397
302,ІМС,3,6.0e-05,0.00596
303,ІМТ,3,6.0e-05,0.00596
304,ІМУ,3,6.0e-05,0.00596
305,ІМЦ,2,4.0e-05,0.00397
306,ІМЩ,2,4.0e-05,0.00397
307,ІМЯ,1,2.0e-05,0.00199
308,ІНІ,16,0.00032,0.03178
309,ІНА,41,0.00081,0.08142
310,ІНБ,4,8.0e-05,0.00794
311,ІНВ,7,0.00014,0.0139
312,ІНД,3,6.0e-05,0.00596
313,ІНЕ,45,0.00089,0.08937
314,ІНЗ,12,0.00024,0.02383
315,ІНИ,4,8.0e-05,0.00794
316,ІНК,5,0.0001,0.00993
317,ІНЛ,3,6.0e-05,0.00596
318,ІНМ,5,0.0001,0.00993
319,ІНН,14,0.00028,0.0278
320,ІНО,5,0.0001,0.00993
321,ІНП,10,0.0002,0.01986
322,ІНР,4,8.0e-05,0.00794
323,ІНС,9,0.00018,0.01787
324,ІНТ,10,0.0002,0.01986
325,ІНУ,12,0.00024,0.02383
326,ІНФ,1,2.0e-05,0.00199
327,ІНЦ,14,0.00028,0.0278
328,ІНЧ,9,0.00018,0.01787
329,ІНШ,9,0.00018,0.01787
330,ІНЬ,7,0.00014,0.0139
331,ІНЯ,4,8.0e-05,0.00794
332,ІОБ,4,8.0e-05,0.00794
333,ІОД,5,0.0001,0.00993
334,ІОЖ,1,2.0e-05,0.00199
335,ІОЗ,1,2.0e-05,0.00199
336,ІОС,1,2.0e-05,0.00199
337,ІОТ,6,0.00012,0.01192
338,ІОЦ,1,2.0e-05,0.00199
339,ІОЧ,2,4.0e-05,0.00397
340,ІПІ,10,0.0002,0.01986
341,ІПА,5,0.0001,0.00993
342,ІПЕ,11,0.00022,0.02185
343,ІПИ,4,8.0e-05,0.00794
344,ІПЛ,4,8.0e-05,0.00794
345,ІПО,28,0.00056,0.05561
346,ІПР,15,0.0003,0.02979
347,ІПУ,2,4.0e-05,0.00397
348,ІРІ,5,0.0001,0.00993
349,ІРА,14,0.00028,0.0278
350,ІРВ,3,6.0e-05,0.00596
351,ІРЕ,2,4.0e-05,0.00397
352,ІРЖ,2,4.0e-05,0.00397
353,ІРЗ,2,4.0e-05,0.00397
354,ІРИ,5,0.0001,0.00993
355,ІРК,9,0.00018,0.01787
356,ІРЛ,1,2.0e-05,0.00199
357,ІРН,10,0.0002,0.01986
358,ІРО,8,0.00016,0.01589
359,ІРП,2,4.0e-05,0.00397
360,ІРР,2,4.0e-05,0.00397
361,ІРС,1,2.0e-05,0.00199
362,ІРТ,1,2.0e-05,0.00199
363,ІРУ,10,0.0002,0.01986
364,ІРЦ,3,6.0e-05,0.00596
365,ІРЧ,4,8.0e-05,0.00794
366,ІРШ,2,4.0e-05,0.00397
367,ІРЩ,1,2.0e-05,0.00199
368,ІРЯ,5,0.0001,0.00993
369,ІСІ,10,0.0002,0.01986
370,ІСА,5,0.0001,0.00993
371,ІСВ,4,8.0e-05,0.00794
372,ІСД,1,2.0e-05,0.00199
373,ІСЖ,1,2.0e-05,0.00199
374,ІСИ,1,2.0e-05,0.00199
375,ІСК,15,0.0003,0.02979
376,ІСЛ,25,0.0005,0.04965
377,ІСМ,1,2.0e-05,0.00199
378,ІСН,15,0.0003,0.02979
379,ІСО,2,4.0e-05,0.00397
380,ІСП,15,0.0003,0.02979
