№,Символ,Кільк.,Імовірність,%
1, ,4881,0.29715,29.71509
2,Є,85,0.00517,0.51747
3,І,603,0.03671,3.67101
4,Ї,22,0.00134,0.13393
5,А,980,0.05966,5.96615
6,Б,193,0.01175,1.17497
7,В,607,0.03695,3.69536
8,Г,98,0.00597,0.59662
9,Д,535,0.03257,3.25703
10,Е,721,0.04389,4.38938
11,Ж,71,0.00432,0.43224
12,З,227,0.01382,1.38196
13,И,652,0.03969,3.96932
14,Й,214,0.01303,1.30281
15,К,502,0.03056,3.05613
16,Л,405,0.02466,2.4656
17,М,287,0.01747,1.74723
18,Н,934,0.05686,5.68611
19,О,1072,0.06526,6.52624
20,П,392,0.02386,2.38646
21,Р,636,0.03872,3.87191
22,С,369,0.02246,2.24644
23,Т,688,0.04188,4.18848
24,У,318,0.01936,1.93596
25,Ф,44,0.00268,0.26787
26,Х,80,0.00487,0.48703
27,Ц,73,0.00444,0.44442
28,Ч,150,0.00913,0.91319
29,Ш,43,0.00262,0.26178
30,Щ,40,0.00244,0.24352
31,Ь,154,0.00938,0.93754
32,Ю,51,0.0031,0.31048
33,Я,294,0.0179,1.78985
34,№,5,0.0003,0.03044
