№,Символ,Кільк.,Імовірність
1,+,333,0.00802
2,/,280,0.00675
3,0,4174,0.10055
4,1,270,0.0065
5,2,43,0.00104
6,3,383,0.00923
7,4,363,0.00874
8,5,110,0.00265
9,6,153,0.00369
10,7,442,0.01065
11,8,190,0.00458
12,9,792,0.01908
13,=,1,2.0e-05
14,A,1292,0.03112
15,B,236,0.00569
16,C,4193,0.10101
17,D,1243,0.02994
18,E,155,0.00373
19,F,134,0.00323
20,G,1236,0.02977
21,H,243,0.00585
22,I,1662,0.04004
23,J,223,0.00537
24,K,313,0.00754
25,L,3129,0.07538
26,M,214,0.00516
27,N,1573,0.03789
28,O,85,0.00205
29,P,202,0.00487
30,Q,2846,0.06856
31,R,1280,0.03083
32,S,324,0.0078
33,T,282,0.00679
34,U,194,0.00467
35,V,157,0.00378
36,W,246,0.00593
37,X,285,0.00687
38,Y,980,0.02361
39,Z,262,0.00631
40,a,27,0.00065
41,b,243,0.00585
42,c,45,0.00108
43,d,776,0.01869
44,e,19,0.00046
45,f,163,0.00393
46,g,2442,0.05883
47,h,144,0.00347
48,i,364,0.00877
49,j,392,0.00944
50,k,160,0.00385
51,l,328,0.0079
52,m,43,0.00104
53,n,116,0.00279
54,o,254,0.00612
55,p,50,0.0012
56,q,10,0.00024
57,r,195,0.0047
58,s,720,0.01734
59,t,1643,0.03958
60,u,629,0.01515
61,v,1035,0.02493
62,w,489,0.01178
63,x,98,0.00236
64,y,420,0.01012
65,z,184,0.00443
