№,Символ,Кільк.,Імовірність,%
1,ЄІ,2,0.00017,0.01733
2,ЄБ,3,0.00026,0.02599
3,ЄВ,9,0.00078,0.07796
4,ЄД,6,0.00052,0.05198
5,ЄЗ,3,0.00026,0.02599
6,ЄЙ,1,9.0e-05,0.00866
7,ЄК,8,0.00069,0.0693
8,ЄМ,7,0.00061,0.06064
9,ЄН,5,0.00043,0.04331
10,ЄО,2,0.00017,0.01733
11,ЄП,10,0.00087,0.08663
12,ЄР,1,9.0e-05,0.00866
13,ЄС,7,0.00061,0.06064
14,ЄТ,17,0.00147,0.14726
15,ЄУ,1,9.0e-05,0.00866
16,ЄЦ,1,9.0e-05,0.00866
17,ЄЧ,1,9.0e-05,0.00866
18,ЄЮ,1,9.0e-05,0.00866
19,ІЄ,3,0.00026,0.02599
20,ІІ,3,0.00026,0.02599
21,ІЇ,5,0.00043,0.04331
22,ІА,1,9.0e-05,0.00866
23,ІБ,8,0.00069,0.0693
24,ІВ,58,0.00502,0.50243
25,ІГ,3,0.00026,0.02599
26,ІД,156,0.01351,1.35135
27,ІЖ,1,9.0e-05,0.00866
28,ІЗ,29,0.00251,0.25121
29,ІЙ,29,0.00251,0.25121
30,ІК,25,0.00217,0.21656
31,ІЛ,25,0.00217,0.21656
32,ІМ,27,0.00234,0.23389
33,ІН,74,0.00641,0.64103
34,ІО,3,0.00026,0.02599
35,ІП,22,0.00191,0.19058
36,ІР,24,0.00208,0.2079
37,ІС,37,0.00321,0.32051
38,ІТ,27,0.00234,0.23389
39,ІУ,1,9.0e-05,0.00866
40,ІФ,2,0.00017,0.01733
41,ІХ,3,0.00026,0.02599
42,ІЦ,7,0.00061,0.06064
43,ІЧ,13,0.00113,0.11261
44,ІШ,5,0.00043,0.04331
45,ІЮ,2,0.00017,0.01733
46,ІЯ,10,0.00087,0.08663
47,ЇА,1,9.0e-05,0.00866
48,ЇБ,1,9.0e-05,0.00866
49,ЇВ,1,9.0e-05,0.00866
50,ЇЗ,3,0.00026,0.02599
51,ЇК,2,0.00017,0.01733
52,ЇМ,2,0.00017,0.01733
53,ЇП,3,0.00026,0.02599
54,ЇР,4,0.00035,0.03465
55,ЇС,2,0.00017,0.01733
56,ЇТ,1,9.0e-05,0.00866
57,ЇЦ,1,9.0e-05,0.00866
58,ЇЧ,1,9.0e-05,0.00866
59,АЄ,39,0.00338,0.33784
60,АІ,11,0.00095,0.09529
61,АА,2,0.00017,0.01733
62,АБ,41,0.00355,0.35516
63,АВ,66,0.00572,0.57173
64,АГ,4,0.00035,0.03465
65,АД,34,0.00295,0.29453
66,АЖ,7,0.00061,0.06064
67,АЗ,21,0.00182,0.18191
68,АЙ,62,0.00537,0.53708
69,АК,58,0.00502,0.50243
70,АЛ,124,0.01074,1.07415
71,АМ,18,0.00156,0.15593
72,АН,158,0.01369,1.36868
73,АО,6,0.00052,0.05198
74,АП,62,0.00537,0.53708
75,АР,27,0.00234,0.23389
76,АС,20,0.00173,0.17325
