№,Символ,Кільк.,Імовірність,%
1,ЄІД,1,9.0e-05,0.00866
2,ЄІП,1,9.0e-05,0.00866
3,ЄБІ,1,9.0e-05,0.00866
4,ЄБА,1,9.0e-05,0.00866
5,ЄБУ,1,9.0e-05,0.00866
6,ЄВІ,2,0.00017,0.01733
7,ЄВИ,4,0.00035,0.03465
8,ЄВЛ,1,9.0e-05,0.00866
9,ЄВН,1,9.0e-05,0.00866
10,ЄВХ,1,9.0e-05,0.00866
11,ЄДЛ,1,9.0e-05,0.00866
12,ЄДН,4,0.00035,0.03465
13,ЄДО,1,9.0e-05,0.00866
14,ЄЗА,2,0.00017,0.01733
15,ЄЗМ,1,9.0e-05,0.00866
16,ЄЙО,1,9.0e-05,0.00866
17,ЄКА,3,0.00026,0.02599
18,ЄКЕ,1,9.0e-05,0.00866
19,ЄКО,3,0.00026,0.02599
20,ЄКТ,1,9.0e-05,0.00866
21,ЄМО,6,0.00052,0.05198
22,ЄМУ,1,9.0e-05,0.00866
23,ЄНІ,1,9.0e-05,0.00866
24,ЄНА,2,0.00017,0.01733
25,ЄНЕ,2,0.00017,0.01733
26,ЄОБ,2,0.00017,0.01733
27,ЄПЕ,3,0.00026,0.02599
28,ЄПО,2,0.00017,0.01733
29,ЄПР,5,0.00043,0.04331
30,ЄРЕ,1,9.0e-05,0.00866
31,ЄСВ,1,9.0e-05,0.00866
32,ЄСЕ,2,0.00017,0.01733
33,ЄСИ,1,9.0e-05,0.00866
34,ЄСЛ,1,9.0e-05,0.00866
35,ЄСТ,2,0.00017,0.01733
36,ЄТИ,1,9.0e-05,0.00866
37,ЄТЬ,16,0.00139,0.1386
38,ЄУМ,1,9.0e-05,0.00866
39,ЄЦЕ,1,9.0e-05,0.00866
40,ЄЧИ,1,9.0e-05,0.00866
41,ЄЮБ,1,9.0e-05,0.00866
42,ІЄП,1,9.0e-05,0.00866
43,ІЄС,1,9.0e-05,0.00866
44,ІЄЮ,1,9.0e-05,0.00866
45,ІІД,1,9.0e-05,0.00866
